line_id,ip,name_ja,name_en,aliases,maker,line_type,acquisition_type,release_date,source_url,notes
kh-acrylic-stand-reprint-2025-10,kingdom-hearts,キングダム ハーツ / アクリルスタンド 追加生産分（2025年10月）,Kingdom Hearts Acrylic Stand Reprint Wave (Oct 2025),KHアクリルスタンド再販|KHアクリルスタンド追加生産|KH Acrylic Stand Reprint 2025-10,スクウェア・エニックス,acrylic,retail,2025-10-04,https://store.jp.square-enix.com/estore/g/gMKH09182-2/,過去に発売または予約終了した複数タイトル(KH1/KHII/KHIII/Chain of Memories)のイラストを使ったアクリルスタンド計9種を、同日(2025-10-04)にまとめて追加生産・再販したもの。個別デザインはcatalog.csvの各行を参照。代表URLはMKH09182-2のもの。
kh-hairclip-halloweentown-a-2025,kingdom-hearts,キングダム ハーツII ヘアクリップセット ハロウィンタウンA,Kingdom Hearts II Hair Clip Set Halloween Town A,ハロウィンタウンヘアクリップ|MKH09602-1|KH2 Halloween Town Hair Clip A,スクウェア・エニックス,other,retail,2025-09-27,https://store.jp.square-enix.com/estore/g/gMKH09602-1/,ハロウィンタウンをモチーフにした2種1セットのヘアクリップ。追加生産分(再販)。似て非なる商品：型番末尾が「A」であり、別デザインの「B」セットが存在する可能性があるが本データには未収録(URL未確認)。
kh2-gaming-mousepad-2025,kingdom-hearts,キングダム ハーツII / ゲーミングマウスパッド,Kingdom Hearts II Gaming Mouse Pad,KH2ゲーミングマウスパッド|MKH09657|KH2 Gaming Mouse Pad,スクウェア・エニックス,other,retail,2025-09-20,https://store.jp.square-enix.com/estore/g/gMKH09657/,デスク全面に敷ける大型マウスパッド(約W800×H400mm)。似て非なる商品：同日発売の「マウスパッドVol.6」(kh-mousepad-vol6-2025、円形・直径約200mmの小型)とはサイズも系統も別商品。
kh-mousepad-vol6-2025,kingdom-hearts,キングダム ハーツ / マウスパッド Vol.6,Kingdom Hearts Mouse Pad Vol.6,KHマウスパッドVol6|ステンドグラスマウスパッド|MKH09659|KH Mouse Pad Vol.6,スクウェア・エニックス,other,retail,2025-09-20,https://store.jp.square-enix.com/estore/g/gMKH09659/,ステンドグラス調イラストの円形マウスパッド(直径約200mm)。「Vol.6」の表記から同シリーズにVol.1〜5等の他デザインが存在するとみられるが本データには未収録。似て非なる商品：同日発売の「ゲーミングマウスパッド」(kh2-gaming-mousepad-2025、大型・長方形)とは別商品。
kh-plush-reprint-2025-11,kingdom-hearts,キングダム ハーツ シリーズ ぬいぐるみ 追加生産分（2025年11月）,Kingdom Hearts Plush Reprint Wave (Nov 2025),KHぬいぐるみ再販|KH Plush Reprint 2025-11,スクウェア・エニックス,plush,retail,2025-11-15,https://store.jp.square-enix.com/estore/g/gMKH09310-1/,KHIIソラの「おすわりぬいぐるみ」とハートレス「シャドウ」のぬいぐるみを、同日(2025-11-15)にまとめて追加生産・再販したもの。個別デザインはcatalog.csvの各行を参照。代表URLはMKH09310-1のもの。
kh3-pets-dogwear-sora-2025,kingdom-hearts,KINGDOM HEARTS PETs ドッグウェア ソラ,Kingdom Hearts PETs Dog Wear (Sora),KHペットウェアソラ|ドッグウェアソラ|MHK09662|KH PETs Sora Dog Wear,スクウェア・エニックス,apparel,retail,2025-09-27,https://store.jp.square-enix.com/estore/g/gMHK09662/,ペット(犬)用のソラ衣装モチーフウェア。『キングダム ハーツIII』のソラの衣装を再現。フード着脱可能、胸元テープ開閉式。
kh-silicon-ice-tray-kingdomchain-2025,kingdom-hearts,キングダム ハーツ / シリコンアイストレー ＜キングダムチェーン＞,Kingdom Hearts Silicone Ice Tray (Kingdom Chain),KHアイストレー|キングダムチェーン製氷皿|MKH09655|KH Silicon Ice Tray Kingdom Chain,スクウェア・エニックス,other,retail,2025-07-19,https://store.jp.square-enix.com/estore/g/gMKH09655/,キーブレード「キングダムチェーン」の形を模したシリコン製氷皿、2個セット。追加生産分(再販)。
kh-keyblade-keyholder-ultima-2025,kingdom-hearts,キングダム ハーツ / キーブレードキーホルダー ＜アルテマウェポン＞,Kingdom Hearts Keyblade Keychain (Ultima Weapon),アルテマウェポンキーホルダー|KHキーブレードキーホルダー|MKH051229-3|KH Ultima Weapon Keychain,スクウェア・エニックス,other,retail,2025-06-28,https://store.jp.square-enix.com/estore/g/gMKH051229-3/,キーブレード「アルテマウェポン」を模したメタル製キーホルダー。追加生産分で、内容は初回版と同一と明記。
kh-long-hoodie-halloweentown-2025,kingdom-hearts,キングダム ハーツ / ロングフーディー ハロウィンタウン,Kingdom Hearts Long Hoodie Halloween Town,ハロウィンタウンパーカー|KHロングフーディー|V-MKH09617|KH Halloween Town Long Hoodie,スクウェア・エニックス,apparel,retail,2025-02-01,https://store.jp.square-enix.com/estore/g/gV-MKH09617-M/,背面にハロウィンタウン衣装のソラ・ドナルド・グーフィーをデザインしたブラックのロングパーカー。M/Lサイズ展開(このURLはMサイズのページ)。
kh-acrylic-stand-2024-10,kingdom-hearts,キングダム ハーツ -ファイナル ミックス- / アクリルスタンド（2024年10月発売）,Kingdom Hearts -Final Mix- Acrylic Stand (Oct 2024 release),KHFMアクリルスタンド|KH2FMアクリルスタンド|KH Final Mix Acrylic Stand 2024,スクウェア・エニックス,acrylic,retail,2024-10-31,https://store.jp.square-enix.com/estore/g/gMKH09604/,『キングダム ハーツ -ファイナル ミックス-』と『キングダム ハーツII -ファイナル ミックス-』のイラストを使ったアクリルスタンド2種を同日発売。個別デザインはcatalog.csvの各行を参照。代表URLはMKH09604のもの。
kh-books,kingdom-hearts,キングダム ハーツ / 書籍・コミック・アルティマニア,"Kingdom Hearts Books, Manga & Ultimania Guides",KH書籍|KH本|キングダムハーツ書籍|Kingdom Hearts books|Kingdom Hearts manga|Kingdom Hearts Ultimania|キングダム ハーツ ブック・コミック,スクウェア・エニックス,book,book,2004-12-17,https://store.jp.square-enix.com/estore/e/ekingdom-book/,スクウェア・エニックス e-STORE「キングダム ハーツ ブック・コミック」掲載の11点（コミック2・ゲームノベル4・アルティマニア2・ファンブック等3）に加え、SQUARE ENIX GAME BOOKS ONLINE（アルティマニア9冊・GAME NOVELS系小説20冊）とガンガンコミックス公式ページ（天野シロ漫画: FINAL MIX 3・チェイン オブ メモリーズ 2・KHII 10・358/2 Days 5・KHIII 2・3）の51点を追加。release_dateは登録商品で最も早いアルティマニア2冊（2004-12-17）の発売日。個別の発売日・価格・ISBNはcatalog.csvの各行を参照。GAME BOOKS ONLINE掲載のうちキャラクターズレポート・ポストカードブック・天野シロ ART WORKSは未収録。絶版判定（availability_hint）は公式e-STOREに取扱ページが無いことに基づく推定で、出版社の絶版表記ではない。
kh-soundtrack,kingdom-hearts,キングダム ハーツ / サウンドトラックCD・楽曲アルバム,Kingdom Hearts Soundtrack CDs & Music Albums,KHサウンドトラック|KHサントラ|キングダムハーツサントラ|Kingdom Hearts OST|Kingdom Hearts Soundtrack|SQUARE ENIX MUSIC キングダム ハーツ,スクウェア・エニックス,music,music,2009-05-27,https://www.jp.square-enix.com/music/lineup/series/KINGDOM_HEARTS/,"SQUARE ENIX MUSIC公式ラインナップページ（KINGDOM HEARTSシリーズ）に掲載されている楽曲商品群。release_dateは判明している中で最も早い商品（Piano Collections KINGDOM HEARTS, 2009年）の発売日。個別商品の発売日・価格・品番はcatalog.csvの各行を参照。ページ上に掲載の全13タイトルをcatalog.csvへ下書き済み（本ラインナップページ経由での購入可否のみ確認。ストリーミング配信の詳細は別途確認が必要）。"
kh-collab-u-treasure-todo,kingdom-hearts,［プレースホルダー］KH × U-TREASURE コラボジュエリー,[Placeholder] KH x U-TREASURE Collab Jewelry,,U-TREASURE,other,retail,,,次セッションで公式ページを渡して確定する予定のプレースホルダー行。例: クラウン ネックレス等。
kh-collab-supergroupies-todo,kingdom-hearts,［プレースホルダー］KH × SuperGroupies コラボ雑貨,[Placeholder] KH x SuperGroupies Collab Goods,,SuperGroupies,other,retail,,,次セッションで公式ページを渡して確定する予定のプレースホルダー行。例: リクモデルブーツ、ロクサスバックパック等。
kh-collab-graniph-todo,kingdom-hearts,［プレースホルダー］KH × graniph コラボアパレル,[Placeholder] KH x graniph Collab Apparel,,graniph,apparel,retail,,,次セッションで公式ページを渡して確定する予定のプレースホルダー行。例: グラフィックTシャツ等。
kh-game-kh1,kingdom-hearts,キングダム ハーツ,KINGDOM HEARTS,キングダム ハーツ|KINGDOM HEARTS|KH1,スクウェア・エニックス,game,game,2002-03-28,https://www.jp.square-enix.com/game/detail/kh/,ゲームソフト『キングダム ハーツ』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khfm,kingdom-hearts,キングダム ハーツ -ファイナル ミックス-,KINGDOM HEARTS -FINAL MIX-,キングダム ハーツ -ファイナル ミックス-|KINGDOM HEARTS -FINAL MIX-|KHFM|KH FM|KH1FM,スクウェア・エニックス,game,game,2002-12-26,https://www.jp.square-enix.com/game/detail/khfm/,ゲームソフト『キングダム ハーツ -ファイナル ミックス-』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khcom,kingdom-hearts,キングダム ハーツ チェイン オブ メモリーズ,KINGDOM HEARTS Chain of Memories,キングダム ハーツ チェイン オブ メモリーズ|KINGDOM HEARTS Chain of Memories|KHCoM|KH CoM,スクウェア・エニックス,game,game,2004-11-11,https://www.jp.square-enix.com/game/detail/khcom/,ゲームソフト『キングダム ハーツ チェイン オブ メモリーズ』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-kh2,kingdom-hearts,キングダム ハーツII,KINGDOM HEARTS II,キングダム ハーツII|KINGDOM HEARTS II|KH2|KHII,スクウェア・エニックス,game,game,2005-12-22,https://www.jp.square-enix.com/game/detail/kh2/,ゲームソフト『キングダム ハーツII』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-kh2fm,kingdom-hearts,キングダム ハーツII ファイナル ミックス+,KINGDOM HEARTS II FINAL MIX+,キングダム ハーツII ファイナル ミックス+|KINGDOM HEARTS II FINAL MIX+|KH2FM|KH2 FM|KHIIFM,スクウェア・エニックス,game,game,2007-03-29,https://www.jp.square-enix.com/game/detail/kh2fm/,ゲームソフト『キングダム ハーツII ファイナル ミックス+』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khdays,kingdom-hearts,キングダム ハーツ 358/2 Days,KINGDOM HEARTS 358/2 Days,キングダム ハーツ 358/2 Days|KINGDOM HEARTS 358/2 Days|KH358/2|KH Days,スクウェア・エニックス,game,game,2009-05-30,https://www.jp.square-enix.com/game/detail/khdays/,ゲームソフト『キングダム ハーツ 358/2 Days』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khbbs,kingdom-hearts,キングダム ハーツ バース バイ スリープ,KINGDOM HEARTS Birth by Sleep,キングダム ハーツ バース バイ スリープ|KINGDOM HEARTS Birth by Sleep|KHBbS|KH BbS,スクウェア・エニックス,game,game,2010-01-09,https://www.jp.square-enix.com/game/detail/khbbs/,ゲームソフト『キングダム ハーツ バース バイ スリープ』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khbbsfm,kingdom-hearts,キングダム ハーツ バース バイ スリープ ファイナル ミックス,KINGDOM HEARTS Birth by Sleep FINAL MIX,キングダム ハーツ バース バイ スリープ ファイナル ミックス|KINGDOM HEARTS Birth by Sleep FINAL MIX|KHBbSFM|BbS FM,スクウェア・エニックス,game,game,2011-01-20,https://www.jp.square-enix.com/game/detail/khbbsfm/,ゲームソフト『キングダム ハーツ バース バイ スリープ ファイナル ミックス』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-kh3d,kingdom-hearts,キングダム ハーツ 3D [ドリーム ドロップ ディスタンス],KINGDOM HEARTS 3D [Dream Drop Distance],キングダム ハーツ 3D [ドリーム ドロップ ディスタンス]|KINGDOM HEARTS 3D [Dream Drop Distance]|KH3D|KHDDD,スクウェア・エニックス,game,game,2012-03-29,https://www.jp.square-enix.com/game/detail/kh3d/,ゲームソフト『キングダム ハーツ 3D [ドリーム ドロップ ディスタンス]』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khrecoded,kingdom-hearts,キングダム ハーツ Re:コーデッド,KINGDOM HEARTS Re:coded,キングダム ハーツ Re:コーデッド|KINGDOM HEARTS Re:coded|KH Re:coded|KHRe:coded,スクウェア・エニックス,game,game,2010-10-07,http://www.square-enix.co.jp/kingdom/recoded/,ゲームソフト『キングダム ハーツ Re:コーデッド』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khhd15,kingdom-hearts,キングダム ハーツ -HD 1.5 リミックス-,KINGDOM HEARTS -HD 1.5 ReMIX-,キングダム ハーツ -HD 1.5 リミックス-|KINGDOM HEARTS -HD 1.5 ReMIX-|KH HD1.5|KHHD1.5,スクウェア・エニックス,game,game,2013-03-14,https://www.jp.square-enix.com/kingdom/khhd/,ゲームソフト『キングダム ハーツ -HD 1.5 リミックス-』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khhd25,kingdom-hearts,キングダム ハーツ -HD 2.5 リミックス-,KINGDOM HEARTS -HD 2.5 ReMIX-,キングダム ハーツ -HD 2.5 リミックス-|KINGDOM HEARTS -HD 2.5 ReMIX-|KH HD2.5|KHHD2.5,スクウェア・エニックス,game,game,2014-10-02,https://www.jp.square-enix.com/kingdom/khhd2/,ゲームソフト『キングダム ハーツ -HD 2.5 リミックス-』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khhd28,kingdom-hearts,キングダム ハーツ HD 2.8 ファイナル チャプター プロローグ,KINGDOM HEARTS HD 2.8 Final Chapter Prologue,キングダム ハーツ HD 2.8 ファイナル チャプター プロローグ|KINGDOM HEARTS HD 2.8 Final Chapter Prologue|KH HD2.8|KHHD2.8|キングダムハーツ HD2.8|キングダム ハーツ HD 2.8|KINGDOM HEARTS HD 2.8,スクウェア・エニックス,game,game,2017-01-12,https://www.jp.square-enix.com/kingdom/khhd_fcp/,ゲームソフト『キングダム ハーツ HD 2.8 ファイナル チャプター プロローグ』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khhd1525,kingdom-hearts,キングダム ハーツ -HD 1.5+2.5 リミックス-,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,キングダム ハーツ -HD 1.5+2.5 リミックス-|KINGDOM HEARTS -HD 1.5+2.5 ReMIX-|KH HD1.5+2.5|KH1.5+2.5|キングダムハーツ HD1.5+2.5|キングダム ハーツ HD 1.5+2.5|KINGDOM HEARTS HD 1.5+2.5,スクウェア・エニックス,game,game,2017-03-09,https://www.jp.square-enix.com/kingdom/khhd1_2/,ゲームソフト『キングダム ハーツ -HD 1.5+2.5 リミックス-』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-kh3,kingdom-hearts,キングダム ハーツIII,KINGDOM HEARTS III,キングダム ハーツIII|KINGDOM HEARTS III|KH3|KHIII,スクウェア・エニックス,game,game,2019-01-25,https://www.jp.square-enix.com/kingdom/kh3/,ゲームソフト『キングダム ハーツIII』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-khmom,kingdom-hearts,キングダム ハーツ メロディ オブ メモリー,KINGDOM HEARTS Melody of Memory,キングダム ハーツ メロディ オブ メモリー|KINGDOM HEARTS Melody of Memory|KH MoM|KHMoM|メロディーオブメモリー,スクウェア・エニックス,game,game,2020-11-11,https://www.jp.square-enix.com/kingdom/kh_mom/,ゲームソフト『キングダム ハーツ メロディ オブ メモリー』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-collection,kingdom-hearts,キングダム ハーツ コレクション [I～III],KINGDOM HEARTS Collection [I-III],キングダム ハーツ コレクション [I～III]|KINGDOM HEARTS Collection [I-III]|KH Collection|KHコレクション,スクウェア・エニックス,game,game,2026-10-08,https://www.jp.square-enix.com/kingdom/collection/,ゲームソフト『キングダム ハーツ コレクション [I～III]』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-game-integrum,kingdom-hearts,キングダム ハーツ インテグラム マスターピース,KINGDOM HEARTS INTEGRUM MASTERPIECE,キングダム ハーツ インテグラム マスターピース|KINGDOM HEARTS INTEGRUM MASTERPIECE|INTEGRUM MASTERPIECE|インテグラムマスターピース|KH INTEGRUM|KINGDOM HEARTS All-in-One Package|キングダムハーツ オールインワンパッケージ,スクウェア・エニックス,game,game,2019-01-25,https://store.playstation.com/ja-jp/product/JP0082-CUSA11060_00-KH3AOP0000000000,『KH III』『HD 1.5+2.5 ReMIX』『HD 2.8 Final Chapter Prologue』の3タイトルセット。PS4ダウンロード版（PS Store）・e-STORE限定パッケージ版（限定予約、終了）・Steamダウンロード版がある。構成タイトルは set_components を参照。
kh-limited-console,kingdom-hearts,KH限定版ゲーム機本体（同梱版）,KH Limited Edition Console Bundles,PlayStation4 Pro KINGDOM HEARTS III LIMITED EDITION|PlayStation4 Pro KINGDOM HEARTS III LIMITED EDITION|PS4 Pro KH3 LIMITED EDITION|PS4 Pro キングダムハーツIII リミテッドエディション|PS4 Pro キングダム ハーツIII 限定版|PS4 Pro キングダムハーツ限定版|PS4 Pro 1TB キングダムハーツ限定版|CUHJ-10025,スクウェア・エニックス,console,set,2019-01-25,https://www.famitsu.com/news/201806/12158933.html,限定デザインのゲーム機本体とKHソフトの同梱セット。同梱ソフトは set_components の sku_id（catalog.csv内のソフト行）で表す。ニンテンドー3DS キングダムハーツエディション等は今後追加。
kh-game-khuc,kingdom-hearts,キングダム ハーツ ユニオン クロス ダーク ロード,KINGDOM HEARTS Union χ [Cross] Dark Road,キングダム ハーツ ユニオン クロス ダーク ロード|KINGDOM HEARTS Union χ [Cross] Dark Road|KH UX|KH Union X|KHユニオンクロス,スクウェア・エニックス,game,game,2015-09-03,https://www.jp.square-enix.com/kingdom/archives/index.html,ゲームソフト『キングダム ハーツ ユニオン クロス ダーク ロード』。機種・版（通常/アルティメット ヒッツ/ダウンロード等）違いは catalog.csv の行で分ける（sku_id は <title>-<platform>-<edition>-<region>）。機種別の発売日は公式ゲーム一覧（https://www.jp.square-enix.com/game/）、型番・価格は各作品ページによる。
kh-and-you-mini-plush,kingdom-hearts,キングダム ハーツ ＆you ミニぬいぐるみ,Kingdom Hearts & You Mini Plush,KH ＆you ミニぬいぐるみ|Kingdom Hearts and You Mini Plush|＆youミニぬいぐるみ,セガ フェイブ,plush,prize,2026-05-15,https://segaplaza.jp/prize/B122285/,セガのプライズ(クレーンゲーム景品)。ソラ・ドナルドダック・グーフィーの全3種、サイズ約6×8×12cm。二次流通のみ想定。一次情報URLで内容の再確認を推奨(verified=false)。
