proxy,fee_type,fee_value,shipping_method,dest_country,weight_from_g,weight_to_g,shipping_jpy,duty_note,updated,source_url
any,,,ems,US,2001,4000,12700,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,US,0,1000,4200,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,US,1001,2000,6700,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,US,2001,4000,11700,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,US,0,500,800,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,US,501,1000,1300,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,US,1001,2000,2200,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,US,2001,4000,4700,US: ~10% duty surcharge + carrier disbursement fee ~$15/parcel on non-DDP; de minimis abolished 2025-08,2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,GB,0,500,1230,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,GB,501,2000,3930,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,GB,0,500,3150,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,GB,501,2000,6700,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,GB,2001,4000,10900,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,GB,0,500,3850,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,GB,501,2000,6000,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,GB,2001,4000,10300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,GB,0,500,800,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,GB,501,2000,2200,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,GB,2001,4000,4300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,DE,0,500,1230,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,DE,501,2000,3930,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,DE,0,500,3150,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,DE,501,2000,6700,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,DE,2001,4000,10900,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,DE,0,500,3850,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,DE,501,2000,6000,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,DE,2001,4000,10300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,DE,0,500,800,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,DE,501,2000,2200,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,DE,2001,4000,4300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,FR,0,500,1230,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,small_packet_air,FR,501,2000,3930,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,FR,0,500,3150,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,FR,501,2000,6700,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,ems,FR,2001,4000,10900,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,FR,0,500,3850,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,FR,501,2000,6000,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,parcel_air,FR,2001,4000,10300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,FR,0,500,800,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,FR,501,2000,2200,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
any,,,surface,FR,2001,4000,4300,EU/UK: import VAT (~20%) + carrier handling fee; EU duty de minimis abolished 2026 (zone 3; 501-2000g band uses 2kg price as upper bound),2026-07-12,https://otakushoppingguide.com/cheapest-shipping-from-japan-2026/
