sku_id,line_id,ip,character,character_en,name_ja,name_en,aliases,variant,design_variants,msrp_jpy,price_basis,acquisition_type,currency,design_count,set_components,bonus_of,availability_hint,availability_confidence,typical_channels,region,platform,edition,width_mm,height_mm,depth_mm,weight_g,jan,isbn,catalog_number,official,rerelease_dates,source_url,verified,notes
ichiban-kuji-kh-20th-anniversary-d-goofy,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,グーフィー,Goofy,一番くじ KINGDOM HEARTS～20th Anniversary～ D賞 ぬいぐるみマスコット(グーフィー),Ichiban Kuji Kingdom Hearts 20th Anniversary Prize D Plush Mascot (Goofy),D賞|D賞グーフィー|ぬいぐるみマスコット グーフィー|Prize D Goofy,D賞(グーフィー),,750,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全3種のうち1種。KHのグーフィーぬいぐるみは一番くじ初登場。公式サイズ表記は「約17cm」のみで内訳なしのため寸法欄は空欄。
ichiban-kuji-kh-20th-anniversary-e-scenes,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ E賞 キャンバスボード(歴代シーン),Ichiban Kuji Kingdom Hearts 20th Anniversary Prize E Canvas Board (Series Scenes),E賞|E賞キャンバスボード|Prize E Canvas Board,E賞(歴代シーン),,750,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全2種のうち1種。歴代シリーズの様々なシーンを集めたデザイン。公式サイズ表記は「約20cm」のみで内訳なしのため寸法欄は空欄。似て非なる商品：同じE賞の「100エーカーの森」版(ichiban-kuji-kh-20th-anniversary-e-100acre)とはデザイン違い。
ichiban-kuji-kh-20th-anniversary-e-100acre,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ E賞 キャンバスボード(100エーカーの森),Ichiban Kuji Kingdom Hearts 20th Anniversary Prize E Canvas Board (Hundred Acre Wood),E賞|E賞キャンバスボード|100エーカーの森|Prize E Canvas Board Hundred Acre Wood,E賞(100エーカーの森),,750,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全2種のうち1種。『KINGDOM HEARTS Ⅲ』の「100エーカーの森」イメージイラストをデザイン。公式サイズ表記は「約20cm」のみで内訳なしのため寸法欄は空欄。似て非なる商品：同じE賞の歴代シーン版(ichiban-kuji-kh-20th-anniversary-e-scenes)とはデザイン違い。
ichiban-kuji-kh-20th-anniversary-f,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ F賞 ハンドタオル,Ichiban Kuji Kingdom Hearts 20th Anniversary Prize F Hand Towel,F賞|F賞ハンドタオル|Prize F Hand Towel|F Prize,F賞,KINGDOM HEARTSモチーフ|KINGDOM HEARTS Ⅱモチーフ|KINGDOM HEARTS Ⅲモチーフ,750,draw_price,kuji,JPY,8,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全8種(『KINGDOM HEARTS』『Ⅱ』『Ⅲ』それぞれモチーフのデザイン等、内訳は design_variants 列参照)。各モチーフ内の個別デザイン名は公式ページに記載なし。公式サイズ表記は「約25cm」のみで内訳なしのため寸法欄は空欄。
ichiban-kuji-kh-20th-anniversary-g,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ G賞 グラス,Ichiban Kuji Kingdom Hearts 20th Anniversary Prize G Glass,G賞|G賞グラス|Prize G Glass|G Prize,G賞,,750,draw_price,kuji,JPY,7,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全7種。個別デザインの内訳は公式ページに記載なし。クローズドパッケージ。公式サイズ表記は「約8cm」のみで内訳なしのため寸法欄は空欄。
ichiban-kuji-kh-20th-anniversary-h-kingdomchain,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ H賞 キーブレードチャームコレクション(キングダムチェーン),Ichiban Kuji Kingdom Hearts 20th Anniversary Prize H Keyblade Charm (Kingdom Chain),H賞|H賞キングダムチェーン|キングダムチェーンチャーム|キングダムチェーン|Prize H Kingdom Chain Charm,H賞(キングダムチェーン),,750,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全10種のうち1種。「キングダムチェーン」は過去のくじからの再ラインナップ。公式サイズ表記は「約5.5cm」のみで内訳なしのため寸法欄は空欄。クローズドパッケージ。
ichiban-kuji-kh-20th-anniversary-h-others,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,,,一番くじ KINGDOM HEARTS～20th Anniversary～ H賞 キーブレードチャームコレクション(新規9種),Ichiban Kuji Kingdom Hearts 20th Anniversary Prize H Keyblade Charm (New Designs),H賞|H賞チャーム|キーブレードチャームコレクション|Prize H Charm,H賞(新規9種),,750,draw_price,kuji,JPY,9,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,全10種のうち「キングダムチェーン」を除く新規9種をまとめた行。個別デザインの内訳は公式ページに記載なし。公式サイズ表記は「約5.5cm」のみで内訳なしのため寸法欄は空欄。クローズドパッケージ。
ichiban-kuji-kh-20th-anniversary-lastone,ichiban-kuji-kh-20th-anniversary,kingdom-hearts,ソラ,Sora,一番くじ KINGDOM HEARTS～20th Anniversary～ ラストワン賞 ソラ スタチュー～ラストワンver.～,Ichiban Kuji Kingdom Hearts 20th Anniversary Last One Prize Sora Statue (Last One ver.),ラストワン賞|ラストワン賞ソラ|ソラスタチュー ラストワンver|Prize Last One Sora Statue,ラストワン賞,,750,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh3,true,A賞と同型で彩色方法が異なるスタチュー(正面から見るとイラストのように見える特殊彩色)。公式ページに他の賞と異なり「全1種」等の種類数表記はない。公式サイズ表記は「約14cm」のみで内訳なしのため寸法欄は空欄。ダブルチャンスキャンペーンでも同一賞品が別途50個当選。似て非なる商品：A賞のソラスタチューとは彩色方法が異なる別商品。
ichiban-kuji-kh-linking-hearts-a,ichiban-kuji-kh-linking-hearts,kingdom-hearts,ソラ,Sora,一番くじ KINGDOM HEARTS -Linking Hearts- A賞 ソラ スタチュー,Ichiban Kuji Kingdom Hearts Linking Hearts Prize A Sora Statue,A賞|A賞ソラ|ソラスタチュー|Prize A Sora Statue|A Prize,A賞,,790,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh4,true,全1種。ソラの精神世界を描いた美麗イラストを初立体化。ステンドグラスのような背景パーツ。公式サイズ表記は「約14cm」のみで内訳なしのため寸法欄は空欄。ダブルチャンスキャンペーンでも同一賞品が別途50個当選(お一人1回まで)。似て非なる商品：ラストワン賞のロクサススタチューは同シリーズのデザイン違い。
ichiban-kuji-kh-linking-hearts-b,ichiban-kuji-kh-linking-hearts,kingdom-hearts,,,一番くじ KINGDOM HEARTS -Linking Hearts- B賞 ビジュアルバスタオル,Ichiban Kuji Kingdom Hearts Linking Hearts Prize B Visual Bath Towel,B賞|B賞バスタオル|ビジュアルバスタオル|Prize B Bath Towel|B Prize,B賞,,790,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh4,true,全1種。KH20周年記念、野村哲也氏描き下ろしイラストのバスタオル。公式サイズ表記は「約90cm」のみで内訳なしのため寸法欄は空欄。
ichiban-kuji-kh-linking-hearts-c,ichiban-kuji-kh-linking-hearts,kingdom-hearts,ミッキー,King Mickey,一番くじ KINGDOM HEARTS -Linking Hearts- C賞 クッション,Ichiban Kuji Kingdom Hearts Linking Hearts Prize C Cushion,C賞|C賞クッション|王様クッション|Prize C Cushion|C Prize,C賞,,790,draw_price,kuji,JPY,,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh4,true,全1種。王様(ミッキーマウス)デザインの両面クッション(両面で異なるデザイン)、フチはゴールドカラー。公式サイズ表記は「約40cm」のみで内訳なしのため寸法欄は空欄。
ichiban-kuji-kh-linking-hearts-d,ichiban-kuji-kh-linking-hearts,kingdom-hearts,,,一番くじ KINGDOM HEARTS -Linking Hearts- D賞 ガラスプレート,Ichiban Kuji Kingdom Hearts Linking Hearts Prize D Glass Plate,D賞|D賞ガラスプレート|Prize D Glass Plate|D Prize,D賞,,790,draw_price,kuji,JPY,2,,,jp_secondhand_only,,mercari|yahoo_auctions|surugaya|mandarake,JP,,,,,,,,,,true,,https://1kuji.com/products/disney_kh4,true,全2種(選べる)。ゴールドカラーの模様のガラス製プレート。個別デザイン名の記載は公式ページになし。公式サイズ表記は「約14cm」のみで内訳なしのため寸法欄は空欄。
